책코드,학년,과목,책제목,태그,지문번호,지문,이미지
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",0,이상한 나라의 도형 공주,Ai_Book1_001_image0
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",1,"""삼각형 왕국은 모든 게 삼각형이었어요. <br>집, 자동차, 건물, 나무, 나비, 산... 모두 말이에요. <br>저 멀리에 뾰족한 삼각형 모양의 왕궁이 보였어요.""",Ai_Book1_001_image1
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",2," ""삼각형은 세상에서 가장 튼튼한 도형이에요. <br>삼각형은 눌러도 모양이 변하지 않고, 밀어도 넘어지지 않지요.""",Ai_Book1_001_image2
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",3,"""그래서 사람들은 삼각형으로 다리도 만들고, 자전거도 만들고, 송전탑도 만들고, 지붕 서까래도 만들고, 선반 받침대도 만들지요."" ",Ai_Book1_001_image3
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",4,"""'텔레비전, 냉장고, 창문은 왜 사각형이에요?' <br>마리 공주가 사각 공주에게 물었어요. <br>'사각형끼리는 빈틈없이 잘 맞거든. 집이 사각형이니까 텔레비전, 냉장고, 창문도 다 사각형인거야.'""",Ai_Book1_001_image4
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",5," ""호수 속에서 얼굴이 동그란 단추처럼 생긴 할아버지가 나타났어요. <br>'나는 원 산신령이다' <br>'아하, 동그라미를 '원'이라고 하는군요.'""",Ai_Book1_001_image5
Ai_Book1_001,1,수학,이상한 나라의 도형 공주,"#도형, #개념, #수학, #기하학",6,이상한 나라의 도형 공주,Ai_Book1_001_image6
